Name,Type,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cyl,Horsepower(HP),City Miles Per Gallon,Highway Miles Per Gallon,Weight,Wheel Base,Len,Width
Chevrolet Corvette convertible 2dr,Sports Car,0,1,51535,45193,5.7,8,350,18,25,3248,105,180,74
Chevrolet Impala 4dr,Sedan,0,0,21900,20095,3.4,6,180,21,32,3465,111,200,73
Chevrolet Impala LS 4dr,Sedan,0,0,25000,22931,3.8,6,200,20,30,3476,111,200,73
Chevrolet Impala SS 4dr,Sedan,0,0,27995,25672,3.8,6,240,18,28,3606,111,200,73
Chevrolet Malibu 4dr,Sedan,0,0,18995,17434,2.2,4,145,24,34,3174,106,188,70
Chevrolet Malibu LS 4dr,Sedan,0,0,20370,18639,3.5,6,200,22,30,3297,106,188,70
Chevrolet Malibu LT 4dr,Sedan,0,0,23495,21551,3.5,6,200,23,32,3315,106,188,70
Chevrolet Malibu Maxx LS,Wagon,0,0,22225,20394,3.5,6,200,22,30,3458,112,188,70
Chevrolet Monte Carlo LS 2dr,Sedan,0,0,21825,20026,3.4,6,180,21,32,3340,111,198,73
Chevrolet Monte Carlo SS 2dr,Sedan,0,0,24225,22222,3.8,6,200,18,28,3434,111,198,73
Chevrolet Suburban 1500 LT,SUV,0,0,42735,37422,5.3,8,295,14,18,4947,130,219,79
Chevrolet Tahoe LT,SUV,1,0,41465,36287,5.3,8,295,14,18,5050,116,197,79
Chevrolet Tracker,SUV,0,0,20255,19108,2.5,6,165,19,22,2866,98,163,67
Chevrolet TrailBlazer LT,SUV,0,0,30295,27479,4.2,6,275,16,21,4425,113,192,75
Chevrolet Venture LS,Minivan,0,0,27020,24518,3.4,6,185,19,26,3699,112,187,72
Chrvsler PT Cruiser GT 4dr,Sedan,0,0,25955,24172,2.4,4,220,21,27,3217,103,169,67
Chrysler 300M 4dr,Sedan,0,0,29865,27797,3.5,6,250,18,27,3581,113,198,74
Chrysler 300M Special Edition 4dr,Sedan,0,0,33295,30884,3.5,6,255,18,27,3650,113,198,74
Chrysler Concorde LX 4dr,Sedan,0,0,24130,22452,2.7,6,200,21,29,3479,113,208,74
Chrysler Concorde LXi 4dr,Sedan,0,0,26860,24909,3.5,6,232,19,27,3548,113,208,74
Chrysler Crossfire 2dr,Sports Car,0,1,34495,32033,3.2,6,215,17,25,3060,95,160,70
Chrysler Pacifica,Wagon,0,1,31230,28725,3.5,6,250,17,23,4675,116,199,79
Chrysler PT Cruiser 4dr,Sedan,0,0,17985,16919,2.4,4,150,22,29,3101,103,169,67
Chrysler PT Cruiser Limited 4dr,Sedan,0,0,22000,20573,2.4,4,150,22,29,3105,103,169,67
Chrysler Sebring 4dr,Sedan,0,0,19090,17805,2.4,4,150,22,30,3173,108,191,71
Chrysler Sebring convertible 2dr,Sedan,0,0,25215,23451,2.4,4,150,22,30,3357,106,194,64
Chrysler Sebring Limited convertible 2dr,Sedan,0,0,30950,28613,2.7,6,200,21,28,3448,106,194,69
Chrysler Sebring Touring 4dr,Sedan,0,0,21840,20284,2.7,6,200,21,28,3222,108,191,71
Chrysler Town and Country Limited,Minivan,0,0,38380,35063,3.8,6,215,18,25,4331,119,201,79
Chrysler Town and Country LX,Minivan,0,0,27490,25371,3.3,6,180,19,26,4068,119,201,79
CMC Yukon 1500 SLE,SUV,0,0,35725,31361,4.8,8,285,16,19,5042,116,199,79
Dodge Caravan SE,Minivan,0,0,21795,20508,2.4,4,150,20,26,3862,113,189,79
Dodge Durango SLT,SUV,1,0,32235,29472,4.7,8,230,15,21,4987,119,201,76
Dodge Grand Caravan SXT,Minivan,1,0,32660,29812,3.8,6,215,18,25,4440,119,201,79
Dodge Intrepid ES 4dr,Sedan,0,0,24885,23058,3.5,6,232,18,27,3487,113,204,75
Dodge Intrepid SE 4dr,Sedan,0,0,22035,20502,2.7,6,200,21,29,3469,113,204,75
Dodge Neon SE 4dr,Sedan,0,0,13670,12849,2,4,132,29,36,2581,105,174,67
Dodge Neon SXT 4dr,Sedan,0,0,15040,14086,2,4,132,29,36,2626,105,174,67
Dodge Stratus SE 4dr,Sedan,0,0,20220,18821,2.4,4,150,21,28,3175,108,191,71
Dodge Stratus SXT 4dr,Sedan,0,0,18820,17512,2.4,4,150,21,28,3182,108,191,71
Ford Crown Victoria 4dr,Sedan,0,1,24345,22856,4.6,8,224,17,25,4057,115,212,78
Ford Crown Victoria LX 4dr,Sedan,0,1,27370,25105,4.6,8,224,17,25,4057,115,212,78
Ford Crown Victoria LX Sport 4dr,Sedan,0,1,30315,27756,4.6,8,239,17,25,4057,115,212,78
Ford Escape XLS,SUV,1,0,22515,20907,3,6,201,18,23,3346,103,173,70
Ford Expedition 4.6 XLT,SUV,0,0,34560,30468,4.6,8,232,15,19,5000,119,206,79
Ford Explorer XLT V6,SUV,1,0,29670,26983,4,6,210,15,20,4463,114,190,72
Ford Focus LX 4dr,Sedan,0,0,13730,12906,2,4,110,27,36,2606,103,168,67
Ford Focus SE 4dr,Sedan,0,0,15460,14496,2,4,130,26,33,2606,103,168,67
Ford Focus SVT 2dr,Sedan,0,0,19135,17878,2,4,170,21,28,2750,103,168,67
Ford Focus ZTW,Wagon,0,0,17475,16375,2,4,130,26,33,2702,103,178,67
Ford Focus ZX3 2dr hatch,Sedan,0,0,13270,12482,2,4,130,26,33,2612,103,168,67
Ford Focus ZX5 5dr,Sedan,0,0,15580,14607,2,4,130,26,33,2691,103,168,67
Ford Freestar SE,Minivan,0,0,26930,24498,3.9,6,193,17,23,4275,121,201,77
Ford Mustang 2dr (convertible),Sports Car,0,1,18345,16943,3.8,6,193,20,29,3290,101,183,73
Ford Mustang GT Premium convertible 2dr,Sports Car,0,1,29380,26875,4.6,8,260,17,25,3347,101,183,73
Ford Taurus LX 4dr,Sedan,0,0,20320,18881,3,6,155,20,27,3306,109,198,73
Ford Taurus SE,Wagon,0,0,22290,20457,3,6,155,19,26,3497,109,198,73
Ford Taurus SES Duratec 4dr,Sedan,0,0,22735,20857,3,6,201,19,26,3313,109,198,73
Ford Thunderbird Deluxe convert w/hardtop 2dr,Sports Car,0,0,37530,34483,3.9,8,280,17,24,3780,107,186,72
GMC Envoy XUV SLE,SUV,0,0,31890,28922,4.2,6,275,15,19,4945,129,208,75
GMC Safari SLE,Minivan,0,1,25640,23215,4.3,6,190,16,20,4309,111,190,78
GMC Yukon XL 2500 SLT,SUV,1,0,46265,40534,6,8,325,13,17,6133,130,219,79
Honda Accord EX 2dr,Sedan,0,0,22260,20080,2.4,4,160,26,34,3047,105,188,71
Honda Accord EX V6 2dr,Sedan,0,0,26960,24304,3,6,240,21,30,3294,105,188,71
Honda Accord LX 2dr,Sedan,0,0,19860,17924,2.4,4,160,26,34,2994,105,188,71
Honda Accord LX V6 4dr,Sedan,0,0,23760,21428,3,6,240,21,30,3349,108,190,72
Honda Civic DX 2dr,Sedan,0,0,13270,12175,1.7,4,115,32,38,2432,103,175,67
Honda Civic EX 4dr,Sedan,0,0,17750,16265,1.7,4,127,32,37,2601,103,175,68
Honda Civic HX 2dr,Sedan,0,0,14170,12996,1.7,4,117,36,44,2500,103,175,67
Honda Civic Hybrid 4dr manual (gas/electric),Sedan,0,0,20140,18451,1.4,4,93,46,51,2732,103,175,68
Honda Civic LX 4dr,Sedan,0,0,15850,14531,1.7,4,115,32,38,2513,103,175,68
Honda Civic Si 2dr hatch,Sedan,0,0,19490,17849,2,4,160,26,30,2782,101,166,67
Honda CR-V LX,SUV,1,0,19860,18419,2.4,4,160,21,25,3258,103,179,70
Honda Element LX,SUV,1,0,18690,17334,2.4,4,160,21,24,3468,101,167,72
Honda Insight 2dr (gas/electric),Sedan,0,0,19110,17911,2,3,73,60,66,1850,95,155,67
Honda Odyssey EX,Minivan,0,0,27450,24744,3.5,6,240,18,25,4365,118,201,76
Honda Odyssey LX,Minivan,0,0,24950,22498,3.5,6,240,18,25,4310,118,201,76
Honda Pilot LX,SUV,1,0,27560,24843,3.5,6,240,17,22,4387,106,188,77
Honda S2000 convertible 2dr,Sports Car,0,1,33260,29965,2.2,4,240,20,25,2835,95,162,69
Hummer H2,SUV,1,0,49995,45815,6,8,316,10,12,6400,123,190,81
Hyundai Accent 2dr hatch,Sedan,0,0,10539,10107,1.6,4,103,29,33,2255,96,167,66
Hyundai Accent GL 4dr,Sedan,0,0,11839,11116,1.6,4,103,29,33,2290,96,167,66
Hyundai Accent GT 2dr hatch,Sedan,0,0,11939,11209,1.6,4,103,29,33,2339,96,167,66
Hyundai Elantra GLS 4dr,Sedan,0,0,13839,12781,2,4,138,26,34,2635,103,178,68
Hyundai Elantra GT 4dr,Sedan,0,0,15389,14207,2,4,138,26,34,2635,103,178,68
Hyundai Elantra GT 4dr hatch,Sedan,0,0,15389,14207,2,4,138,26,34,2698,103,178,68
Hyundai Santa Fe GLS,SUV,0,0,21589,20201,2.7,6,173,19,-1100,3549,103,177,73
Hyundai Sonata GLS 4dr,Sedan,0,0,19339,17574,2.7,6,170,19,27,3217,106,187,72
Hyundai Sonata LX 4dr,Sedan,0,0,20339,18380,2.7,6,170,19,27,3217,106,187,72
Hyundai Tiburon GT V6 2dr,Sports Car,0,0,18739,17101,2.7,6,172,19,26,3023,100,173,69
Hyundai XG350 4dr,Sedan,0,0,24589,22055,3.5,6,194,17,26,3651,108,192,72
Hyundai XG350 L 4dr,Sedan,0,0,26189,23486,3.5,6,194,17,26,3651,108,192,72
Infiniti FX35,Wagon,0,1,34895,31756,3.5,6,280,16,22,4056,112,189,76
Infiniti FX45,Wagon,1,0,36395,33121,4.5,8,315,1000,19,4309,112,189,76
Infiniti G35 4dr,Sedan,0,1,28495,26157,3.5,6,260,18,26,3336,112,187,69
Infiniti G35 4dr,Sedan,1,0,32445,29783,3.5,6,260,18,26,3677,112,187,69
Infiniti G35 Sport Coupe 2dr,Sedan,0,1,29795,27536,3.5,6,280,18,26,3416,112,182,72
Infiniti I35 4dr,Sedan,0,0,31145,28320,3.5,6,255,19,26,3306,108,194,70
Infiniti M45 4dr,Sedan,0,1,42845,38792,4.5,8,340,17,23,3851,110,197,70
Infiniti Q45 Luxury 4dr,Sedan,0,1,52545,47575,4.5,8,340,17,23,3977,113,200,73
Isuzu Ascender S,SUV,1,0,31849,29977,4.2,6,275,15,20,4967,129,208,76
Isuzu Rodeo S,SUV,0,0,20449,19261,3.2,6,193,17,21,3836,106,178,70
Jaguar S-Type 3.0 4dr,Sedan,0,1,43895,40004,3,6,235,18,26,3777,115,192,72
Jaguar S-Type 4.2 4dr,Sedan,0,1,49995,45556,4.2,8,294,18,28,3874,115,192,72
Jaguar S-Type R 4dr,Sedan,0,1,63120,57499,4.2,8,390,17,24,4046,115,192,72
Jaguar Vanden Plas 4dr,Sedan,0,1,68995,62846,4.2,8,294,18,28,3803,119,200,73
Jaguar XJ8 4dr,Sedan,0,1,59995,54656,4.2,8,294,18,28,3803,119,200,73
Jaguar XJR 4dr,Sedan,0,1,74995,68306,4.2,8,390,17,24,3948,119,200,73
Jaguar XK8 convertible 2dr,Sports Car,0,1,74995,68306,4.2,8,294,18,26,3980,102,187,71
Jaguar XK8 coupe 2dr,Sports Car,0,1,69995,63756,4.2,8,294,18,26,3779,102,187,71
Jaguar XKR convertible 2dr,Sports Car,0,1,86995,79226,4.2,8,390,16,23,4042,102,187,71
Jaguar XKR coupe 2dr,Sports Car,0,1,81995,74676,4.2,8,390,16,23,3865,102,187,71
Jaguar X-Type 2.5 4dr,Sedan,1,0,29995,27355,2.5,6,192,18,26,3428,107,184,70
Jaguar X-Type 3.0 4dr,Sedan,1,0,33995,30995,3,6,227,18,25,3516,107,184,70
Jeep Grand Cherokee Laredo,SUV,0,0,27905,25686,4,6,195,16,21,3790,106,181,72
Jeep Liberty Sport,SUV,1,0,20130,18973,2.4,4,150,20,24,3826,104,174,72
Jeep Wrangler Sahara convertible 2dr,SUV,1,0,25520,23275,4,6,190,16,19,3575,93,150,67
Kia Optima LX 4dr,Sedan,0,0,16040,14910,2.4,4,138,23,30,3281,106,186,72
Kia Optima LX V6 4dr,Sedan,0,0,18435,16850,2.7,6,170,20,27,3279,106,186,72
Kia Rio 4dr auto,Sedan,0,0,11155,10705,1.6,4,104,25,32,2458,95,167,66
Kia Rio 4dr manual,Sedan,0,0,10280,9875,1.6,4,104,26,33,2403,95,167,66
Kia Rio Cinco,Wagon,0,0,11905,11410,1.6,4,104,26,33,2447,95,167,66
Kia Sedona LX,Minivan,0,0,20615,19400,3.5,6,195,16,22,4802,115,194,75
Kia Sorento LX,SUV,0,0,19635,18630,3.5,6,192,16,19,4112,107,180,73
Kia Spectra 4dr,Sedan,0,0,12360,11630,1.8,4,124,24,32,2661,101,178,68
Kia Spectra GS 4dr hatch,Sedan,0,0,13580,12830,1.8,4,124,24,32,2686,101,178,68
Kia Spectra GSX 4dr hatch,Sedan,0,0,14630,13790,1.8,4,124,24,32,2697,101,178,68
Land Rover Discovery SE,SUV,1,0,39250,35777,4.6,8,217,12,16,4576,100,185,74
Land Rover Freelander SE,SUV,1,0,25995,23969,2.5,6,174,18,21,3577,101,175,71
Land Rover Range Rover HSE,SUV,1,0,72250,65807,4.4,8,282,12,16,5379,113,195,76
Lexus ES 330 4dr,Sedan,0,0,32350,28755,3.3,6,225,20,29,3460,107,191,71
Lexus GS 300 4dr,Sedan,0,1,41010,36196,3,6,220,18,25,3649,110,189,71
Lexus GS 430 4dr,Sedan,0,1,48450,42232,4.3,8,300,18,23,3715,110,189,71
Lexus GX 470,SUV,1,0,45700,39838,4.7,8,235,15,19,4740,110,188,74
Lexus IS 300 4dr auto,Sedan,0,1,32415,28611,3,6,215,18,24,3285,105,177,68
Lexus IS 300 4dr manual,Sedan,0,1,31045,27404,3,6,215,18,25,3255,105,177,68
Lexus IS 300 SportCross,Wagon,0,1,32455,28647,3,6,215,18,24,3410,105,177,68
Lexus LS 430 4dr,Sedan,0,1,55750,48583,4.3,8,290,18,25,3990,115,197,72
Lexus LX 470,SUV,1,0,64800,56455,4.7,8,235,13,17,5590,112,193,76
Lexus RX 330,SUV,1,0,39195,34576,3.3,6,230,18,24,4065,107,186,73
Lexus SC 430 convertible 2dr,Sports Car,0,1,63200,55063,4.3,8,300,18,23,3840,103,178,72
Lincoln Aviator Ultimate,SUV,0,0,42915,39443,4.6,8,302,13,18,4834,114,193,76
Lincoln LS V6 Luxury 4dr,Sedan,0,1,32495,29969,3,6,232,20,26,3681,115,194,73
Lincoln LS V6 Premium 4dr,Sedan,0,1,36895,33929,3,6,232,20,26,3681,115,194,73
Lincoln LS V8 Sport 4dr,Sedan,0,1,40095,36809,3.9,8,280,17,24,3768,115,194,73
Lincoln LS V8 Ultimate 4dr,Sedan,0,1,43495,39869,3.9,8,280,17,24,3768,115,194,73
Lincoln Navigator Luxury,SUV,1,0,52775,46360,5.4,8,300,13,18,5969,119,206,80
Lincoln Town Car Signature 4dr,Sedan,0,1,41815,38418,4.6,8,239,17,25,4369,118,215,78
Lincoln Town Car Ultimate 4dr,Sedan,0,1,44925,41217,4.6,8,239,17,25,4369,118,215,78
Lincoln Town Car Ultimate L 4dr,Sedan,0,1,50470,46208,4.6,8,239,17,25,4474,124,221,78
Mazda MPV ES,Minivan,0,0,28750,26600,3,6,200,18,25,3812,112,188,72
Mazda MX-5 Miata convertible 2dr,Sports Car,0,1,22388,20701,1.8,4,142,23,28,2387,89,156,66
Mazda MX-5 Miata LS convertible 2dr,Sports Car,0,1,25193,23285,1.8,4,142,23,28,2387,89,156,66
Mazda Tribute DX 2.0,SUV,1,0,21087,19742,2,4,130,22,25,3091,103,173,72
Mazda6 i 4dr,Sedan,0,0,19270,17817,2.3,4,160,24,32,3042,105,187,70
Mercedes-Benz C230 Sport 2dr,Sedan,0,1,26060,24249,1.8,4,189,22,30,3250,107,178,68
Mercedes-Benz C240,Wagon,0,1,33780,31466,2.6,6,168,19,25,3470,107,179,68
Mercedes-Benz C240 4dr,Sedan,0,1,32280,30071,2.6,6,168,20,25,3360,107,178,68
Mercedes-Benz C240 4dr,Sedan,1,0,33480,31187,2.6,6,168,19,25,3360,107,178,68
Mercedes-Benz C32 AMG 4dr,Sedan,0,1,52120,48522,3.2,6,349,16,21,3540,107,178,68
Mercedes-Benz C320 4dr,Sedan,0,1,37630,35046,3.2,9,215,20,26,3450,107,178,68
Mercedes-Benz C320 Sport 2dr,Sedan,0,1,28370,26435,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz C320 Sport 4dr,Sedan,0,1,35920,33456,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz CL500 2dr,Sedan,0,1,94820,88324,5,8,302,16,24,4085,114,196,73
Mercedes-Benz CL600 2dr,Sedan,0,1,128420,119600,5.5,12,493,13,19,4473,114,196,73
Mercedes-Benz CLK320 coupe 2dr (convertible),Sedan,0,1,45707,41966,3.2,6,215,20,26,3770,107,183,69
Mercedes-Benz CLK500 coupe 2dr (convertible),Sedan,0,1,52800,49104,5,8,302,17,22,3585,107,183,69
Mercedes-Benz E320,Wagon,0,1,50670,47174,3.2,6,221,19,27,3966,112,190,71
Mercedes-Benz E320 4dr,Sedan,0,1,48170,44849,3.2,6,221,19,27,3635,112,190,71
Mercedes-Benz E500,Wagon,1,0,60670,56474,5,8,302,16,24,4230,112,190,71
Mercedes-Benz E500 4dr,Sedan,0,1,57270,53382,5,8,302,16,20,3815,112,190,71
Mercedes-Benz G500,SUV,1,0,76870,71540,5,8,292,13,14,5423,112,186,71
Mercedes-Benz ML500,SUV,1,0,46470,43268,5,8,288,14,17,4874,111,183,72
Mercedes-Benz S430 4dr,Sedan,0,1,74320,69168,4.3,8,275,18,26,4160,122,203,73
Mercedes-Benz S500 4dr,Sedan,1,0,86970,80939,5,8,302,16,24,4390,122,203,73
Mercedes-Benz SL500 convertible 2dr,Sports Car,0,1,90520,84325,5,8,302,16,23,4065,101,179,72
Mercedes-Benz SL55 AMG 2dr,Sports Car,0,1,121770,113388,5.5,8,493,14,21,4235,101,179,72
Mercedes-Benz SL600 convertible 2dr,Sports Car,0,1,126670,117854,5.5,12,493,13,19,4429,101,179,72
Mercedes-Benz SLK230 convertible 2dr,Sports Car,0,1,40320,37548,2.3,4,192,21,29,3055,95,158,68
Mercedes-Benz SLK32 AMG 2dr,Sports Car,0,1,56170,52289,3.2,6,349,17,22,3220,95,158,68
Mercury Grand Marquis GS 4dr,Sedan,0,1,24695,23217,4.6,8,224,17,25,4052,115,212,78
Mercury Grand Marquis LS Premium 4dr,Sedan,0,1,29595,27148,4.6,8,224,17,25,4052,115,212,78
Mercury Grand Marquis LS Ultimate 4dr,Sedan,0,1,30895,28318,4.6,8,224,17,25,4052,115,212,78
Mercury Marauder 4dr,Sedan,0,1,34495,31558,4.6,8,302,17,23,4195,115,212,78
Mercury Monterey Luxury,Minivan,0,0,33995,30846,4.2,6,201,16,23,4340,121,202,77
Mercury Mountaineer,SUV,0,0,29995,27317,4,6,210,16,21,4374,114,190,72
Mercury Sable GS,Wagon,0,0,22595,20748,3,6,155,19,26,3488,109,198,73
Mercury Sable GS 4dr,Sedan,0,0,21595,19848,3,6,155,20,27,3308,109,200,73
Mercury Sable LS Premium 4dr,Sedan,0,0,23895,21918,3,6,201,19,26,3315,109,200,73
Mini Cooper,Sedan,0,0,16999,15437,1.6,4,115,28,37,2524,97,143,67
Mini Cooper S,Sedan,0,0,19999,18137,1.6,4,163,25,34,2678,97,144,67
Mitsubishi Diamante LS 4dr,Sedan,0,0,29282,27250,3.5,6,205,18,25,3549,107,194,70
Mitsubishi Eclipse GTS 2dr,Sports Car,0,0,25092,23456,3,6,210,21,28,3241,101,177,69
Mitsubishi Eclipse Spyder GT convertible 2dr,Sports Car,0,0,26992,25218,3,6,210,21,28,3296,101,177,69
Mitsubishi Endeavor XLS,SUV,1,0,30492,28330,3.8,6,215,17,21,4134,109,190,74
Mitsubishi Galant GTS 4dr,Sedan,0,0,25700,23883,3.8,6,230,18,26,3649,108,191,72
Mitsubishi Lancer Evolution 4dr,Sports Car,0,0,29562,27466,2,4,271,18,26,3263,103,179,70
Mitsubishi Montero XLS,SUV,1,0,33112,30763,3.8,6,215,15,19,4718,110,190,75
Mitsubishi Outlander LS,SUV,0,0,18892,17569,2.4,4,160,21,27,3240,103,179,69
Nissan 350Z coupe 2dr,Sports Car,0,1,26910,25203,3.5,6,287,20,26,3188,104,169,72
Nissan 350Z Enthusiast convertible 2dr,Sports Car,0,1,34390,31845,3.5,6,287,20,26,3428,104,169,72
Nissan Altima S 4dr,Sedan,0,0,19240,18030,2.5,4,175,21,26,3039,110,192,70
Nissan Altima SE 4dr,Sedan,0,0,23290,21580,3.5,6,245,21,26,3197,110,192,70
